,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
60,2017-09-30,Bournemouth,Leicester,0,0,NH,4,9,11,12,0.42857142857142855,0.5714285714285714,L,W,L,L,L,L,D,L,L,W,18.0,4.0,7.0,LWLLL,LDLLW,3,4,0,0,1,0,0,0,0,0,-1.0,-0.42857142857142855,-0.14285714285714285,-0.14285714285714285,14.0
61,2017-09-30,Chelsea,Man City,0,1,NH,12,21,5,2,1.8571428571428572,2.2857142857142856,W,D,W,W,W,W,W,W,W,D,18.0,2.0,7.0,WDWWW,WWWWD,13,13,1,0,0,0,0,0,0,0,1.0,2.7142857142857144,-0.42857142857142855,0.0,16.0
62,2017-09-30,Huddersfield,Tottenham,0,4,NH,5,10,3,5,1.2857142857142858,1.5714285714285714,D,D,L,D,W,W,D,W,D,L,16.0,14.0,7.0,DDLDW,WDWDL,6,8,0,0,0,0,0,0,0,0,0.2857142857142857,0.7142857142857143,-0.2857142857142857,-0.2857142857142857,2.0
63,2017-09-30,Man United,Crystal Palace,4,0,H,17,0,2,13,2.2857142857142856,0.0,W,W,D,W,W,L,L,L,L,L,18.0,18.0,7.0,WWDWW,LLLLL,13,0,0,0,0,0,0,0,1,1,2.142857142857143,-1.8571428571428572,2.2857142857142856,1.8571428571428572,0.0
64,2017-09-30,Stoke,Southampton,2,1,H,5,4,10,5,0.7142857142857143,1.1428571428571428,L,L,D,D,W,L,W,L,D,W,18.0,19.0,7.0,LLDDW,LWLDW,5,7,0,0,0,0,0,0,0,0,-0.7142857142857143,-0.14285714285714285,-0.42857142857142855,-0.2857142857142857,-1.0
65,2017-09-30,West Brom,Watford,2,2,NH,4,9,6,10,1.1428571428571428,1.5714285714285714,L,D,L,D,W,W,L,W,D,W,13.0,20.0,7.0,LDLDW,WLWDW,5,10,0,0,0,0,0,0,0,0,-0.2857142857142857,-0.14285714285714285,-0.42857142857142855,-0.7142857142857143,-7.0
66,2017-09-30,West Ham,Swansea,1,0,H,6,3,13,7,0.5714285714285714,0.7142857142857143,L,D,W,L,L,L,D,L,W,L,18.0,3.0,7.0,LDWLL,LDLWL,4,4,0,0,0,0,0,0,0,0,-1.0,-0.5714285714285714,-0.14285714285714285,0.0,15.0
67,2017-10-01,Arsenal,Brighton,2,0,H,9,5,8,7,1.4285714285714286,1.0,W,D,W,L,L,W,L,W,D,L,6.0,15.0,7.0,WDWLL,WLWDL,7,7,0,0,0,0,0,0,0,0,0.14285714285714285,-0.2857142857142857,0.42857142857142855,0.0,-9.0
68,2017-10-01,Everton,Burnley,0,1,NH,4,6,11,5,1.0,1.2857142857142858,W,L,L,L,D,D,D,W,D,L,18.0,18.0,7.0,WLLLD,DDWDL,4,6,0,0,0,0,0,0,0,0,-1.0,0.14285714285714285,-0.2857142857142857,-0.2857142857142857,0.0
69,2017-10-01,Newcastle,Liverpool,1,1,NH,6,12,5,11,1.2857142857142858,1.5714285714285714,L,W,W,W,L,W,D,L,W,W,18.0,1.0,7.0,LWWWL,WDLWW,9,10,0,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,-0.2857142857142857,-0.14285714285714285,17.0
70,2017-10-14,Burnley,West Ham,1,1,NH,7,7,5,13,1.5,0.875,W,D,D,W,D,W,L,D,W,L,18.0,18.0,8.0,WDDWD,WLDWL,9,7,0,0,0,0,0,0,0,0,0.25,-0.75,0.625,0.25,0.0
71,2017-10-14,Crystal Palace,Chelsea,2,1,H,0,12,17,6,0.0,1.625,L,L,L,L,L,L,W,D,W,W,18.0,18.0,8.0,LLLLL,LWDWW,0,10,0,0,1,1,0,0,0,0,-2.125,0.75,-1.625,-1.25,0.0
72,2017-10-14,Liverpool,Man United,0,0,NH,13,21,12,2,1.5,2.375,D,W,D,L,W,W,W,W,D,W,1.0,18.0,8.0,DWDLW,WWWDW,8,13,0,0,0,0,0,0,0,0,0.125,2.375,-0.875,-0.625,-17.0
73,2017-10-14,Man City,Stoke,7,2,H,22,7,2,11,2.375,1.0,W,W,W,W,W,W,L,L,D,D,2.0,18.0,8.0,WWWWW,WLLDD,15,5,1,1,0,0,0,0,0,0,2.5,-0.5,1.375,1.25,-16.0
74,2017-10-14,Swansea,Huddersfield,2,0,H,3,5,8,7,0.625,1.125,L,L,D,L,W,L,D,D,L,D,3.0,16.0,8.0,LLDLW,LDDLD,4,3,0,0,0,0,0,0,0,0,-0.625,-0.25,-0.5,0.125,-13.0
75,2017-10-14,Tottenham,Bournemouth,1,0,H,14,4,5,11,1.75,0.5,W,W,D,W,D,D,L,W,L,L,14.0,18.0,8.0,WWDWD,DLWLL,11,4,0,0,0,0,0,0,0,0,1.125,-0.875,1.25,0.875,-4.0
